id,poj_input,poj_unicode,tailo_input,tailo_unicode,hoagi,abbreviations,noun_classifiers,reduplication,english_descriptions,page_number
22117,m7-tu2-ho2,m̄-tú-hó,m7-tu2-ho2,m̄-tú-hó,有些不適,"SV ph ",,,"something which one cannot stand, intolerable, not feeling well",
22118,m7-tu2-ho2,m̄-tú-hó,m7-tu2-ho2,m̄-tú-hó,不巧,"Smod, Pmod ",,,coincidentaly,
22119,ma-ga-lin2,ma-ga-lín,ma-ga-lin2,ma-ga-lín,人造奶油,"N ",,,margarine,
22120,ma-ma,ma-ma,ma-ma,ma-ma,媽媽,"Na ",,,"mama, mother, mom",
22121,ma-ma-hau2/khau3,ma-ma-háu/khàu,ma-ma-hau2/khau3,ma-ma-háu/khàu,哇哇哭,"Vph ",,,cry like a baby or small child,
22122,ma2,má,ma2,má,祖母輩之稱呼,"Na ",,,mother,
22123,ma2,má,ma2,má,祖母輩之稱呼,"Nsf ",,,"grandmother, goddess",
22124,ma2-cha3,má-chà,ma2-tsa3,má-tsà,蝗蟲,N Bib,chiah,,"an edible insect, bald locust",
22125,ma2-choo2,má-chó͘,ma2-tsoo2,má-tsóo,媽祖,"N ",,,"Matsu, goddess of seafaring people of Taiwan and Hokkien, birthday celebrated on the 26th of the 3rd lunar month",
22126,ma2-hu,má-hu,ma2-hu,má-hu,馬虎,"SV ph ",,má-má-hu-hu,"careless(ly), negligent(ly), in a haphazard manner",
22127,ma2-i5,má-î,ma2-i5,má-î,女巫,"N ",,,"sorceress, witch",
22128,Ma2-ka-pek,Má-ka-pek,Ma2-ka-pik,Má-ka-pik,瑪加伯,"N RC ",,,Maccabbees (cf Ma2-ka-pi2),
22129,Ma2-ka-pi2,Má-ka-pí,Ma2-ka-pi2,Má-ka-pí,瑪加比,N Prot Bib,,,Maccabbees (cf Ma2-ka-pek),
22130,Ma2-kho2,Má-khó,Ma2-kho2,Má-khó,馬可福音,Npers Prot Bib,,,Mark(cf Ma2-ni2-kok),
22131,Ma2-lah8-ki,Má-la̍h-ki,Ma2-lah8-ki,Má-la̍h-ki,瑪拉基書,Npers Prot Bib,,,Malachi (cf Ma2-liap8-ki-a),
22132,Ma2-lai5-a,Má-lâi-a,Ma2-lai5-a,Má-lâi-a,馬來亞,"N ",,,Malaya,
22133,Ma2-lai5-se-a,Má-lâi-se-a,Ma2-lai5-se-a,Má-lâi-se-a,馬來西亞,"N ",,,Malaysia,
22134,ma2-le2-eng,má-lé-eng,ma2-le2-ing,má-lé-ing,花尾鴶鶯,"N ",chiah,,"Middendorff's grasshopper warbler, Locustella ochotensis ochotensis",
22135,ma2-leng5-chi5/chu5,má-lêng-chî/chû,ma2-ling5-tsi5/tsu5,má-lîng-tsî/tsû,馬鈴薯,"N ","châng, lia̍p",,"potato, Solanum tuberosum",
22136,Ma2-liap8-ki-a,Má-lia̍p-ki-a,Ma2-liap8-ki-a,Má-lia̍p-ki-a,瑪拉基亞,Npers RC Bib,,,Malachias (cf Ma2-lah8-ki),
22137,ma2-na2,má-ná,ma2-na2,má-ná,嗎哪,N Bib,,,manna,
22138,Ma2-ni2-kok,Má-ní-kok,Ma2-ni2-kok,Má-ní-kok,瑪爾谷福音,Npers RC Bib,,,Mark (cf Ma2-kho2),
22139,ma2-poat8,má-poa̍t,ma2-puat8,má-pua̍t,馬?,N  Ich,bé,,"either of two genera of threadfins, family Polynemidae",
22140,ma2-put8,má-pu̍t,ma2-put8,má-pu̍t,馬勃,N Bot,lúi,,"edible fungi of the puffball of family, family Lycoperdaceae",
22141,ma2-sian7/siong7,má-siān/siōng,ma2-sian7/siong7,má-siān/siōng,馬上,"Pmod ",,,"immediately, right away",
22142,Ma2-too7 hok-im,Má-tō͘ hok-im,Ma2-too7 hok-im,Má-tōo hok-im,瑪竇福音,Np RC Bib,,,Matthew (cf Ma2-thai3),
22143,Ma2-thai3,Má-thài,Ma2-thai3,Má-thài,馬太福音,Npers Prot Bib,,,Matthew (cf Ma2-to.7),
22144,ma5-bok8,mâ-bo̍k,ma5-bok8,mâ-bo̍k,麻木,"SV    ",,,"numb, insensitive",
22145,ma5-hoan5,mâ-hoân,ma5-huan5,mâ-huân,麻煩,"V ",,,"bother, trouble (a person)",
22146,ma5-hoan5,mâ-hoân,ma5-huan5,mâ-huân,麻煩,"SV ",,,"bothersome, troublesome",
22147,ma5-ni5,mâ-nî,ma5-ni5,mâ-nî,明年,"Nt ",,,next year,
22148,ma5-sat-bak8,mâ-sat-ba̍k,ma5-sat-bak8,mâ-sat-ba̍k,虱目魚,"N ",bé,,"milkfish, Chanos chanos",
22149,ma7,mā,ma7,mā,也,"Pmod ",,,"also, too <Goa3 u7 chiah8 I ma7 u7 chiah8: I ate (a cookie) but he also ate one>, <Nai7-chi long2 ma7 sio2-khoa2 sng-sng : Lichees are all a little sour> ",
22150,ma7,mā,ma7,mā,罵,"V ",,,"abuse, revile, scold",
22151,ma7,mā,ma7,mā,牛叫聲,"V ",,,"low, moo (cattle)",
22152,mai2-chiok,mái-chiok,mai2-tsiok,mái-tsiok,賄賂,"V ",,,bribe,
22153,mai3,mài,mai3,mài,不要,"Pmod ",,,"do not, don't",
22154,mai3-chin3,mài-chìn,mai3-tsin3,mài-tsìn,邁進,"V ",,,"push straight forward (to), strive (for) ",
22155,mau5,mâu,mau5,mâu,矛,"N ",ki,,spear,
22156,mau5-chhau2,mâu-chháu,mau5-tshau2,mâu-tsháu,茅草,"N R  ",châng,,"cogon-grass, used for thatch, Imperata cylindrica (col hn5-chhau2)",
22157,mau5-peng7,mâu-pēng,mau5-ping7,mâu-pīng,毛病,"N ",,,"defect, fault",
22158,mau5-tun2,mâu-tún,mau5-tun2,mâu-tún,矛盾,"SV ",,,self-contradictory,
22159,mau5-tun2,mâu-tún,mau5-tun2,mâu-tún,矛盾,"Nubo ",,,self-contradiction,
22160,mau7-sit8,māu-si̍t,mau7-sit8,māu-si̍t,假裝知道,"V ",,,"act as an imposter, pretend (to know)",
22161,mau7-sit8-kui2,māu-si̍t-kúi,mau7-sit8-kui2,māu-si̍t-kuí,騙子,"Nph ",,,"imposter, pretender",
22162,me-me,me-me,me-me,me-me,妹妹,"Na  ",,,(fre pron meh-meh or me2-meh):younger sister,
22163,me2-chhinn2,mé-chhíⁿ,me2-tshinn2,mé-tshínn,警覺的,"SV ",,,"alert, attentive",
22164,me2-khoai3,mé-khoài,me2-khuai3,mé-khuài,輕快,"SV ",,,"easily done, quickly done",
22165,me2-liah8,mé-lia̍h,me2-liah8,mé-lia̍h,猛烈,"SV ",,,"fierce, furious, violent (attack)",
22166,me2-liah8,mé-lia̍h,me2-liah8,mé-lia̍h,猛烈,"SV ",,,keen (competition),
22167,me5,mê,me5,mê,夜,"M ",,,"evening, night",
22168,me5,mê,me5,mê,鋩,"SV ",,,sharp,
22169,me5-jiy8,mê-ji̍y,me5-jiy8,mê-ji̍y,日夜,"TW ",,,day and night,
22170,me5-kak,mê-kak,me5-kak,mê-kak,鋩角,"N ",,,"charp edge, sharp corner",
22171,me5-kan,mê-kan,me5-kan,mê-kan,夜間,"TW ",,,during the night,
22172,me5-ni5,mê-nî,me5-ni5,mê-nî,明年,"Nt ",,,next year,
22173,me5-si5,mê-sî,me5-si5,mê-sî,夜間,"Nt ",,,nighttime,
22174,me7,mē,me7,mē,罵,"V ",,,"abuse, revile, acold",
22175,meh8,me̍h,meh8,me̍h,脈,"N ",,,pulse,
22176,meh8=chhi3,me̍h=chhì,meh8=tshi3,me̍h=tshì,脈翅目,N Ent,chiah,,"lacewings, nerve0winged insects, insects of the order Neuropters",
22177,",eh8-khn2",",e̍h-khń",",eh8-khn2",",e̍h-khń",脈管,"N ",,,"blood vessel, duct",
22178,meh8-ko2,me̍h-kó,meh8-ko2,me̍h-kó,脈管,"N ",,,pulse,
22179,meh8-li2,me̍h-lí,meh8-li2,me̍h-lí,脈理,"N ",,,a method of diagnosis of illness by feeling the pulse,
22180,meh8-phok,me̍h-phok,meh8-phok,me̍h-phok,脈搏,"N ",,,pulse,
22181,mi,mi,mi,mi,捏抓,"V ",,,"take up (salt, sugar, etc. with the fingers)",
22182,mi-mi-mauh-mauh,mi-mi-mauh-mauh,mi-mi-mauh-mauh,mi-mi-mauh-mauh,不成樣,"pVmod ",,,"wrecked, distorted, out-of-shape, twisted (after an accident)",
22183,mi-oa2,mi-oá,mi-ua2,mi-uá,握拳,"V ",,,"close the fingers against the palm, clench the fist",
22184,mi-pai5-a2,mi-pâi-á,mi-pai5-a2,mi-pâi-á,玩牌,"VO ",,,pick up playing cards,
22185,mi-pai5-a2,mi-pâi-á,mi-pai5-a2,mi-pâi-á,玩牌,"VO ",,,play cards,
22186,mi5,mî,mi5,mî,夜,"Mt ",,,"night ",
22187,mi5,mî,mi5,mî,棉,"N ",châng,,"cotton plant, Gossypium indicum",
22188,mi5,mî,mi5,mî,鋩,"SV ",,,sharp,
22189,mi5-a2,mî-á,mi5-a2,mî-á,棉,"N ",,,"cotton, wool, cotton betting",
22190,mi5-chinn,mî-chiⁿ,mi5-tsinn,mî-tsinn,纏擾不休,"SV ",,,urgent and importunate,
22191,mi5-chioh,mî-chioh,mi5-tsioh,mî-tsioh,棉被,"N ",niá,,cotton padded quilt,
22192,mi5-chioh-phoe7,mî-chioh-phōe,mi5-tsioh-phue7,mî-tsioh-phuē,棉被,"N ",niá,,cotton padded quilt,
22193,mi5-chit-phin2,mî-chit-phín,mi5-tsit-phin2,mî-tsit-phín,棉織品,"N ",,,"cotton cloth, cotton fabric",
22194,mi5-(-a2)-choa2,mî-(-á)-chóa,mi5-(-a2)-tsua2,mî-(-á)-tsuá,衛生紙,"N ",,,yoilet paper (syn oe7-seng-shoa2),
22195,mi5-chhiu7,mî-chhiū,mi5-tshiu7,mî-tshiū,木棉樹,"N ",châng,,"bombax tree, cotton tree, silk-cotton tree, Bombax malabarica",
22196,mi5-ge5,mî-gê,mi5-ge5,mî-gê,棉蚜,N Ent,chiah,,"cotton aphis, melon aphis, Aphis gossypii",
22197,mi5-hiu5,mî-hiû,mi5-hiu5,mî-hiû,棉襖,"N ",niá,,cotton padded coat or jacket,
22198,mi5-hng,mî-hng,mi5-hng,mî-hng,晚上,"Nt ",,,"evening, night",
22199,mi5-hng5,mî-hn̂g,mi5-hng5,mî-hn̂g,棉田,"N ",khu,,cotton field,
22200,mi5-hoe,mî-hoe,mi5-hue,mî-hue,棉花,"N ",,,cotton,
22201,mi5-hoe-chu7,mî-hoe-chū,mi5-hue-tsu7,mî-hue-tsū,棉花墊,N Hosp,ê,,cotton sponges,
22202,mi5-hoe-ki,mî-hoe-ki,mi5-hue-ki,mî-hue-ki,棉花籤,N Hosp,ki,,cotton applicator,
22203,mi5-hoe-kiu5,mî-hoe-kiû,mi5-hue-kiu5,mî-hue-kiû,棉花球,N Hosp,lia̍p,,absorbent cotton balls,
22204,mi5-iunn5,mî-iûⁿ,mi5-iunn5,mî-iûnn,綿羊,"N ",chiah,,sheep,
22205,mi5-iunn5-bu2,mî-iûⁿ-bú,mi5-iunn5-bu2,mî-iûnn-bú,母綿羊,"N ",chiah,,ewe,
22206,mi5-iunn5-mng5,mî-iûⁿ-mn̂g,mi5-iunn5-mng5,mî-iûnn-mn̂g,綿羊毛,"N ",,,wool,
22207,mi5-jit8,mî-ji̍t,mi5-jit8,mî-ji̍t,日夜,"TW ",,,night and day,
22208,mi5-kak,mî-kak,mi5-kak,mî-kak,鋩角,"N ",,,sharp edge or corner,
22209,mi5-kan,mî-kan,mi5-kan,mî-kan,夜間,"TW ",,,during the night,
22210,mi5-kiu5,mî-kiû,mi5-kiu5,mî-kiû,綿球,"N ",lia̍p,,cotton ball or swab,
22211,mi5-kng2-hioh8-thang5,mî-kńg-hio̍h-thâng,mi5-kng2-hioh8-thang5,mî-kńg-hio̍h-thâng,棉捲葉蟲,"N ",chiah,,"cotton leaf-roller, Sylepta derogata",
22212,mi5-ku5,mî-kû,mi5-ku5,mî-kû,綿鴝,N Orn,chiah,,"Chinese fantail warbler, rufous fantail warbler, Cisticola juncidis tinnabulans",
22213,mi5-lat8,mî-la̍t,mi5-lat8,mî-la̍t,栓皮樺,"N ",châng,,"Chinese cork, oak, Quercus variabilis",
22214,mi5-mi5-beh/kiu5,mî-mî-beh/kiû,mi5-mi5-beh/kiu5,mî-mî-beh/kiû,纏擾不休,"Vph ",,,importune,
22215,mi5-ni5,mî-nî,mi5-ni5,mî-nî,明年,"Nt ",,,next year,
22216,mi5-noa7,mî-nōa,mi5-nua7,mî-nuā,勤,"SV ",,,"diligent, hard-working, industrious",
22217,mi5-phe7/phoe7,mî-phē/phōe,mi5-phe7/phue7,mî-phē/phuē,棉被,"N ",niá,,cotton padded quilt,
22218,Mi5-sat,Mî-sat,Mi5-sat,Mî-sat,彌撒,"N RC ",,,The Mass,
22219,Mi5-sat hian3-gi5,Mî-sat hiàn-gî,Mi5-sat hian3-gi5,Mî-sat hiàn-gî,彌撒獻儀,"N RC ",,,stipemd for a Mass,
22220,mi5-se,mî-se,mi5-se,mî-se,棉紗,"N ",,,cotton thread,
22221,mi5-si5,mî-sî,mi5-si5,mî-sî,夜間,"Nt ",,,nighttime,
22222,mi5-sit8-ngoo5,mî-si̍t-ngô͘,mi5-sit8-ngoo5,mî-si̍t-ngôo,棉竇蛾,N Ent,chiah,,"diamond ball-worm, Earias cuprioviridis",
22223,mi7,mī,mi7,mī,麵,"N ",,,noodle,
22224,mi7-chia3,mī-chià,mi7-tsia3,mī-tsià,麵筋,"N ",tè,,small piece of plutinous wheat dough (soaked in soy sauce and boiled),
22225,mi7-hun2,mī-hún,mi7-hun2,mī-hún,麵粉,"N ",,,wheat flour,
22226,mi7-hun2-pang,mī-hún-pang,mi7-hun2-pang,mī-hún-pang,桿麵板,"N ",tè,,kneading borad,
22227,mi7-hun2-te7,mī-hún-tē,mi7-hun2-te7,mī-hún-tē,麵粉袋,"N ",kha,,flour bag,
22228,mi7-kann3,mī-kàⁿ,mi7-kann3,mī-kànn,麵酵,"N ",,,yeast,
22229,mi7-ki-chhai3,mī-ki-chhài,mi7-ki-tshai3,mī-ki-tshài,麵枝菜,"N ",,,"an edible brown alga, Ecklonia kurome",
22230,"mi5-ku ","mî-ku ","mi5-ku ","mî-ku ",紅龜,"N ",,,soft round cakes with sweet filling,
22231,mi7-lek8,mī-le̍k,mi7-lik8,mī-li̍k,媚力,"N ",,,"cajolery, flattery, flirtation (by a woman)",
22232,mi7-pau,mī-pau,mi7-pau,mī-pau,麵包,"N ","ki, tiâu (loaf), phìⁿ (slice) ",,bread,
22233,mi7-pau-a2,mī-pau-á,mi7-pau-a2,mī-pau-á,小麵包,"N ",tè,,"dinner roll, bun",
22234,mi7-pau-hu,mī-pau-hu,mi7-pau-hu,mī-pau-hu,麵包屑,"N ",,,bread crumbs,
22235,mi7-pau-hu,mī-pau-hu,mi7-pau-hu,mī-pau-hu,麵包屑,"N ",,,bread crumbs,
22236,mi7-painn2,mī-páiⁿ,mi7-painn2,mī-páinn,餅乾,"N ",tè,,cookie made of wheat-flour,
22237,mi7-pong7-chhiu7,mī-pōng-chhiū,mi7-pong7-tshiu7,mī-pōng-tshiū,麵包樹,"N ",châng. lia̍p,,"bread-fruit tree, Artocarpus lanceolata",
22238,mi7-sit8,mī-si̍t,mi7-sit8,mī-si̍t,麵食,"N ",,,foods made from flour,
22239,mi7-soann3,mī-sòaⁿ,mi7-suann3,mī-suànn,細麵條,"N ",,,vermicelli,
22240,mi7-soann3-kui,mī-sòaⁿ-kui,mi7-suann3-kui,mī-suànn-kui,曬麵架,"N ",ê,,frame for drying noodles,
22241,mi7-te5,mī-tê,mi7-te5,mī-tê,麵茶,"N ",,,broth or tea made with wheat flour that has been cooked with flavoring and other ingredients,
22242,mi7-thi,mī-thi,mi7-thi,mī-thi,麵筋,"N ",tè,,small piece of glutinous wheat dough (soaked in soy sauce and fried),
22243,mi7-thau5,mī-thâu,mi7-thau5,mī-thâu,饅頭,"N ",,,dough,
22244,mia5,miâ,mia5,miâ,名,"M ",,,person,
22245,mia5,miâ,mia5,miâ,名,"V ",,,name,
22246,mia5,miâ,mia5,miâ,名,"N ",,,name,
22247,mia5,miâ,mia5,miâ,名,"N ",,,"fame, reputation",
22248,mia5-gi7,miâ-gī,mia5-gi7,miâ-gī,名義,"N ",,,"name, reputation, tittle",
22249,mia5-giah8,miâ-gia̍h,mia5-giah8,miâ-gia̍h,名額,"N ",,,number of names or persons,
22250,mia5-ho7,miâ-hō,mia5-ho7,miâ-hō,名號,"N ",,,pen-name,
22251,mia5-hun7,miâ-hūn,mia5-hun7,miâ-hūn,名份,"N ",,,"obligations, tight (birthright, etc), relative rank ( in social structure)",
22252,mia5-ji7,miâ-jī,mia5-ji7,miâ-jī,名字,"N ",,,name (written),
22253,mia5-mng5,miâ-mn̂g,mia5-mng5,miâ-mn̂g,名門,"N ",ê,,distinguished family,
22254,mia5-pai5,miâ-pâi,mia5-pai5,miâ-pâi,名牌,"N ",tè,,"strip of wood, metal, etc bearing one's name (placed on one's door, desk, etc)",
22255,mia5-phinn3,miâ-phìⁿ,mia5-phinn3,miâ-phìnn,名片,"N ",tiuⁿ,,"business card, calling card, name card",
22256,mia5-pho7,miâ-phō,mia5-pho7,miâ-phō,名簿,"N ",pún,,"membership roll, list of names (in a book, cf mia5-toaN)",
22257,mia5-senn3/sinn3,miâ-sèⁿ/sìⁿ,mia5-senn3/sinn3,miâ-sènn/sìnn,姓名,"N ",,,"full name, surname and given name",
22258,mia5-siann,miâ-siaⁿ,mia5-siann,miâ-siann,名聲,"N ",,,"fame, reputation",
22259,mia5-toann,miâ-toaⁿ,mia5-tuann,miâ-tuann,名單,"N ",tiuⁿ,,list of names (cf mia5-pho.7),
22260,mia7,miā,mia7,miā,命,"N ",,,"fate, fortune, life",
22261,mia7-un7,miā-ūn,mia7-un7,miā-ūn,命運,"N ",,,"destiny, fate, fortune",
22262,mih-sai2,mih-sái,mih-sai2,mih-sái,何必 為什麼,"Ccl ",,,(interrogative introducing a request for a reason): why…? What is the reason for…?,
22263,mih-tai7(-chi3),mih-tāi(-chì),mih-tai7(-tsi3),mih-tāi(-tsì),什麼事,"Res ",,,(to a situation): What is the matter? Why?,
22264,mih8,mi̍h,mih8,mi̍h,物,"N  ",,,"thing, object, goods, stuff",
22265,mih8,mi̍h,mih8,mi̍h,物,"N ",,,someone (pejorative),
22266,mih8-a2,mi̍h-á,mih8-a2,mi̍h-á,東西,"N ",,,"thing, object, goods, stuff",
22267,mih8-chiah8,mi̍h-chia̍h,mih8-tsiah8,mi̍h-tsia̍h,食物,"N ",,,"food    ",
22268,mih8-ke3,mi̍h-kè,mih8-ke3,mi̍h-kè,物價,"N ",,,price of goods,
22269,mih8-keng,mi̍h-keng,mih8-king,mi̍h-king,倉庫,"N ",keng,,storeroom,
22270,mih8-kiann7,mi̍h-kiāⁿ,mih8-kiann7,mi̍h-kiānn,物件,"N ",,,"article, object, thing",
22271,mih8-laiu7,mi̍h-laiū,mih8-laiu7,mi̍h-lāiu,材料,"N ",,,materials (for making sthg),
22272,mih8-phe3/phoe3,mi̍h-phè/phòe,mih8-phe3/phue3,mi̍h-phè/phuè,下飯的菜,"N ",,,food eaten with rice (syn chhai3),
22273,"mng ","mng ","mng ","mng ",很細,"pNmod ",,,fine (rain),
22274,"mng ","mng ","mng ","mng ",很細,"pSVmod ",,,"fine(cotton fiber, feather, rain, etc)",
22275,mng2-poo,mńg-po͘,mng2-poo,mńg-poo,下午,"Nt ",,,late afternoon,
22276,mng2-phang-hoe,mńg-phang-hoe,mng2-phang-hue,mńg-phang-hue,紫茉莉,"N ","châng, lúi",,"four o'clock, Mirabilis jalapa",
22277,mng5,mn̂g,mng5,mn̂g,"毛 ","N ",ki,,"hairm feather, wool",
22278,mng5,mn̂g,mng5,mn̂g,門,"N ",sìⁿ,,"door, gate",
22279,mng5-a2,mn̂g-á,mng5-a2,mn̂g-á,芒其骨,"N ",châng,,"a fern(Gleichenia), Dicranopteria dichomata",
22280,mng5-bai-,mn̂g-bai-,mng5-bai-,mn̂g-bai-,(門窗的)橫木,"N ",ê,,lintel of a door,
22281,mng5-be2,mn̂g-bé,mng5-be2,mn̂g-bé,辮子,"N ",ki,,"braid of hair, queue",
22282,mng5 cheng7-beh8/meh8,mn̂g chēng-be̍h/me̍h,mng5 tsing7-beh8/meh8,mn̂g tsīng-be̍h/me̍h,門靜脈,N Anat,,,portal vein,
22283,mng5-chin2,mn̂g-chín,mng5-tsin2,mn̂g-tsín,門診,"Vph ",,,examine (a patient) in one's office or clinic,
22284,mng5-chin2-poo7,mn̂g-chín-pō͘,mng5-tsin2-poo7,mn̂g-tsín-pōo,門診部,N Hosp,,,out-patient department,
22285,mng5-chiong-kun,mn̂g-chiong-kun,mng5-tsiong-kun,mn̂g-tsiong-kun,杜虹花,"N ",châng,,"Formosan beauty-berry, Callicarpa formosana",
22286,mng5-chit,mn̂g-chit,mng5-tsit,mn̂g-tsit,毛織品,"N ",,,"woolen cloth, woolen fabric",
22287,mng5-chhau2,mn̂g-chháu,mng5-tshau2,mn̂g-tsháu,門閂,"N ",ki,,bar or bolt of a door,
22288,mgn5-ho7,mgn̂-hō,mgn5-ho7,m̂gn-hō,門戶,"N ",,,doors (general term),
22289,mng5-hoe7,mn̂g-hōe,mng5-hue7,mn̂g-huē,毛蟹,N Ich,chiah,,"mitten crab, Ericoheir japonicus",
22290,mng5-hoe7-bak8,mn̂g-hōe-ba̍k,mng5-hue7-bak8,mn̂g-huē-ba̍k,土牛膝,"N ",châng,,Achyranthes obtusifolia,
22291,mng5-hoe7-chhau2,mn̂g-hōe-chháu,mng5-hue7-tshau2,mn̂g-huē-tsháu,毛蟹草,"N ",châng,,"a kind of grass, Sporobolus indicus",
22292,mng5-kak,mn̂g-kak,mng5-kak,mn̂g-kak,鬥角,"N ",,,corner near the door,
22293,mng5-kong5,mn̂g-kông,mng5-kong5,mn̂g-kông,門閂,"N ",ki,,bar used across the inside of a door to prevent it from being opened,
22294,mng5-kha,mn̂g-kha,mng5-kha,mn̂g-kha,門下,"Np ",,,area just inside the doorway,
22295,mng5-kha-khau2,mn̂g-kha-kháu,mng5-kha-khau2,mn̂g-kha-kháu,門口,"Np ",,,"doorway, entrance",
22296,mng5-khang,mn̂g-khang,mng5-khang,mn̂g-khang,毛孔,"N ",,,hair follicle,
22297,mng5-khau2,mn̂g-kháu,mng5-khau2,mn̂g-kháu,門口,"Np ",,,"doorway, entrance",
22298,mng5-khau2-tiann5,mn̂g-kháu-tiâⁿ,mng5-khau2-tiann5,mn̂g-kháu-tiânn,院子,"Np ",,,courtyard in front of the door,
22299,mng5-khi7,mn̂g-khī,mng5-khi7,mn̂g-khī,台灣黑檀,"N ","châng, lia̍p",,"Taiwan ebony, velvet apple, Diospyros discolor",
22300,mng5-khi7-keh,mn̂g-khī-keh,mng5-khi7-keh,mn̂g-khī-keh,台灣黑檀,"N ","châng, lia̍p",,"Taiwan ebony, velvet apple, Diospyros discolor",
22301,mng5-khia7,mn̂g-khiā,mng5-khia7,mn̂g-khiā,門柱,"N ",,,doorpost,
22302,mng5-khian,mn̂g-khian,mng5-khian,mn̂g-khian,門環,"N ",ê,,ring on a door or drawer used as a handle,
22303,mng5-khian,mn̂g-khian,mng5-khian,mn̂g-khian,門閂,"N ",ê,,metal latch or hook-and-eye for a door,
22304,mng5-leng5,mn̂g-lêng,mng5-ling5,mn̂g-lîng,門把,"N ",lia̍p,,door knob,
22305,mng5-li5,mn̂g-lî,mng5-li5,mn̂g-lî,門簾,"N ",tè,,cloth or bamboo screen hung in a doorway to give privacy,
22306,mng5-liam5,mn̂g-liâm,mng5-liam5,mn̂g-liâm,門帘,"N ",tè,,cloth or bamboo screen hung in a doorway to give privacy,
22307,mng5-lian5,mn̂g-liân,mng5-lian5,mn̂g-liân,門聯,"N ",tùiⁿ,,inscriptions pasted on doors,
22308,mng5-loo7,mn̂g-lō͘,mng5-loo7,mn̂g-lōo,門廊,"N ",,,"doorway   ",
22309,mng5-pai5,mn̂g-pâi,mng5-pai5,mn̂g-pâi,門牌,"N ",tè,,house-number,
22310,mng5-phang7,mn̂g-phāng,mng5-phang7,mn̂g-phāng,門縫,"N ",phāng,,"crack between leaves of a door, crack around a door",
22311,mng5-sek,mn̂g-sek,mng5-sik,mn̂g-sik,髮色,"N ",,,color of hair,
22312,mng5-sin5,mn̂g-sîn,mng5-sin5,mn̂g-sîn,門神,"N ",sian,,guardian spirit of a door (usually painted on the door),
22313,mng5-tau2,mn̂g-táu,mng5-tau2,mn̂g-táu,門框,"N ",,,foor frame,
22314,mng5-tauh,mn̂g-tauh,mng5-tauh,mn̂g-tauh,門閂,"N ",ê,,door-latch,
22315,mng5-teng2,mn̂g-téng,mng5-ting2,mn̂g-tíng,(門窗的)橫木,"N ",ê,,lintel of door,
22316,mng5-teng7,mn̂g-tēng,mng5-ting7,mn̂g-tīng,門檻,"N ",ê,,threshold,
22317,mng5-tiunn3,mn̂g-tiùⁿ,mng5-tiunn3,mn̂g-tiùnn,門簾,"N ",tè,,curtains hung in a doorway to give privacy,
22318,mng5-tu2,mn̂g-tú,mng5-tu2,mn̂g-tú,門柱,"N ",ki,,prop to keep a door shut,
22319,mng5-thiau7,mn̂g-thiāu,mng5-thiau7,mn̂g-thiāu,柱,"N ",,,door posts,
22320,mng7,mn̄g,mng7,mn̄g,問,"V ",,,"ask(a wuestion), interrogate",
22321,mng7-an,mn̄g-an,mng7-an,mn̄g-an,問安,"V ",,,send greetings (by word-of-mouth),
22322,mng7-an3,mn̄g-àn,mng7-an3,mn̄g-àn,審問,"VO ",,,examine a case (jusge),
22323,mng7-choe7,mn̄g-chōe,mng7-tsue7,mn̄g-tsuē,調查,"VO ",,,examine into a crime,
22324,mng7-in3,mn̄g-ìn,mng7-in3,mn̄g-ìn,問答,"N ",,,question and answer,
22325,mng7-kau3,mn̄g-kàu,mng7-kau3,mn̄g-kàu,問到,"V ",,,ask about,
22326,mng7-khi2,mn̄g-khí,mng7-khi2,mn̄g-khí,問起,"V ",,,raise (a question),
22327,mng5-khoann3,mn̂g-khòaⁿ,mng5-khuann3,mn̂g-khuànn,問問看,"V ",,,make enquiries,
22328,mng7-peng5-an,mn̄g-pêng-an,mng7-ping5-an,mn̄g-pîng-an,問好,"VO ",,,enquire after someone's welfare,
22329,mng7-pok,mn̄g-pok,mng7-pok,mn̄g-pok,問卜,"VO ",,,consult ( a diviner who uses ) a turtle-shell,
22330,mng7-to2,mn̄g-tó,mng7-to2,mn̄g-tó,問倒,"V ",,,"defeat by questions, stump",
22331,mng7-to7-hoe7,mn̄g-tō-hōe,mng7-to7-hue7,mn̄g-tō-huē,問道會,"N ",,,meeting where prospective church members are examined for their knowledge of doctrine,
22332,mng7-to7-iu2,mn̄g-tō-iú,mng7-to7-iu2,mn̄g-tō-iú,問道友,"N ",,,an enquirer after Christianity,
22333,mng7-toe5,mn̄g-tôe,mng7-tue5,mn̄g-tuê,問題,"N ",,,"issue, matter, problem, question",
22334,moo,mo͘,moo,moo,摸,"V ",,,"feel, touch",
22335,moo5,mô͘,moo5,môo,毛,"N ",ki,,"hair, feather, wool",
22336,moo5-bok8,mô͘-bo̍k,moo5-bok8,môo-bo̍k,麻木,"SV ",,,"numb, insensitive",
22337,Mo5-bun5-kau3,Mô-bûn-kàu,Mo5-bun5-kau3,Mô-bûn-kàu,摩門教,"N ",,,Mormon Church,
22338,moo5-chian,mô͘-chian,moo5-tsian,môo-tsian,毛氈,"N ",,,"coarse woven cloth (carpet, blanket cloth, flannal, etc)",
22339,moo5-chiong-kun,mô͘-chiong-kun,moo5-tsiong-kun,môo-tsiong-kun,杜虹花,"N ",châng,,"Formosan beauty-berry, Callicarpa formosana",
