id,poj_input,poj_other_input,poj_unicode,poj_other_unicode,tailo_input,tailo_other_input,tailo_unicode,tailo_other_unicode,hoagi,page_number
1684,hoat,,hoat,,huat,,huat,,,235
1685,hoat-too7,,hoat-tō͘,,huat-too7,,huat-tōo,,方法,235
1686,bo5 hoat-too7,,bô hoat-tō͘,,bo5 huat-too7,,bô huat-tōo,,沒法子,235
1687,hoat hun2,,hoat hún,,huat hun2,,huat hún,,發粉,235
1688,hoat-tat8,,hoat-ta̍t,,huat-tat8,,huat-ta̍t,,發達,235
1689,hoat-chai5,,hoat-châi,,huat-tsai5,,huat-tsâi,,發財,235
1690,hoat-sio,hoat-jiat8,hoat-sio,hoat-jia̍t,huat-sio,huat-jiat8,huat-sio,huat-jia̍t,發熱,235
1691,hoat-beng5,,hoat-bêng,,huat-bing5,,huat-bîng,,發明,235
1692,hoat-inn7,hoat-teng5,hoat-īⁿ,hoat-têng,huat-inn7,huat-ting5,huat-īnn,huat-tîng,法院、法庭,236
1693,hoat-kian3,,hoat-kiàn,,huat-kian3,,huat-kiàn,,發見,236
1694,hoat-piau2,,hoat-piáu,,huat-piau2,,huat-piáu,,發表,236
1695,hoat-seng,,hoat-seng,,huat-sing,,huat-sing,,發生,236
1696,hoat-heng5,khan,hoat-hêng,khan,huat-hing5,khan,huat-hîng,khan,發行、發刊,236
1697,hoat-tiau5,,hoat-tiâu,,huat-tiau5,,huat-tiâu,,發條,237
1698,hoe3,,hòe,,hue3,,huè,,歲,237
1699,hoe2-ke,,hóe-ke,,hue2-ke,,hué-ke,,火雞,237
1700,hoe2-chhia,,hóe-chhia,,hue2-tshia,,hué-tshia,,火車,237
1701,hoe2-chhia-thau5,,hóe-chhia-thâu,,hue2-tshia-thau5,,hué-tshia-thâu,,火車站,237
1702,hoe3-but8,,hòe-bu̍t,,hue3-but8,,huè-bu̍t,,貨物,237
1703,chai3 hoe3-but8,,chài hòe-bu̍t,,tsai3 hue3-but8,,tsài huè-bu̍t,,載貨物,237
1704,hoe,,hoe,,hue,,hue,,花,237
1705,chit8 chang5 hoe,,chi̍t châng hoe,,tsit8 tsang5 hue,,tsi̍t tsâng hue,,一株花,237
1706,hoe-phun5,,hoe-phûn,,hue-phun5,,hue-phûn,,花盆,237
1707,hoe-kha,,hoe-kha,,hue-kha,,hue-kha,,花盆,237
1708,hoe-kan,,hoe-kan,,hue-kan,,hue-kan,,花瓶,238
1709,hoe-hng5,,hoe-hn̂g,,hue-hng5,,hue-hn̂g,,花園,238
1710,hoe-m5,,hoe-m̂,,hue-m5,,hue-m̂,,花蕾,238
1711,hoe7,,hōe,,hue7,,huē,,會,238
1712,khui-hoe,,khui-hoe,,khui-hue,,khui-hue,,開會,238
1713,khai-hoe7,,khai-hōe,,khai-hue7,,khai-huē,,開會,238
1714,hoe7-oan5,,hōe-oân,,hue7-uan5,,huē-uân,,會員,238
1715,hoe7-tiunn5,,hōe-tiûⁿ,,hue7-tiunn5,,huē-tiûnn,,會場,238
1716,hoe7-tiunn2,,hōe-tiúⁿ,,hue7-tiunn2,,huē-tiúnn,,會長,238
1717,hoe7-gi7,,hōe-gī,,hue7-gi7,,huē-gī,,會議,238
1718,hoe7-hui3,,hōe-hùi,,hue7-hui3,,huē-huì,,會費,238
1719,hoe7-ke3,koe3-ke3,hōe-kè,kòe-kè,hue7-ke3,kue3-ke3,huē-kè,kuè-kè,會計,238
1720,hoe3-pe3,,hòe-pè,,hue3-pe3,,huè-pè,,貨幣,239
1721,hoe7-toann,hoe7-phio3,hōe-toaⁿ,hōe-phiò,hue7-tuann,hue7-phio3,huē-tuann,huē-phiò,滙單（票）,239
1722,hoe3-but5-chhia,,hòe-bût-chhia,,hue3-but5-tshia,,huè-bût-tshia,,貨物車,239
1723,hoe2,,hóe,,hue2,,hué,,火,239
1724,khi2 hoe2,,khí hóe,,khi2 hue2,,khí hué,,起火,239
1725,tian7-hoe2,,tiān-hóe,,tian7-hue2,,tiān-hué,,電燈,239
1726,hoe2 sio chhu3,,hóe sio chhù,,hue2 sio tshu3,,hué sio tshù,,火災、火警,239
1727,hoe2-hu,,hóe-hu,,hue2-hu,,hué-hu,,灰,239
1728,hoe2-chih8,,hóe-chi̍h,,hue2-tsih8,,hué-tsi̍h,,火焰,239
1729,hoe2-sai2,hoe2-chhinn,hóe-sái,hóe-chhiⁿ,hue2-sai2,hue2-tshinn,hué-sái,hué-tshinn,火星、火花,239
1730,hoe5,,hôe,,hue5,,huê,,回（信）,239
1731,hoe2-iu5,thoo5-tau7-iu5/hoa-seng-iu5,hóe-iû,thô͘-tāu-iû/hoa-seng-iû,hue2-iu5,thoo5-tau7-iu5/hua-sing-iu5,hué-iû,thôo-tāu-iû/hua-sing-iû,花生油,240
1732,hoe2-thoann3,,hóe-thòaⁿ,,hue2-thuann3,,hué-thuànn,,木炭,240
1733,hoe,,hoe,,hue,,hue,,石灰,240
1734,boah hoe,,boah hoe,,buah hue,,buah hue,,塗以灰泥,240
1735,hoe3-siu7,,hòe-siū,,hue3-siu7,,huè-siū,,壽命,240
1736,tng5 hoe3-siu7,,tn̂g hòe-siū,,tng5 hue3-siu7,,tn̂g huè-siū,,長壽,240
1737,te2 hoe3-siu7,,té hòe-siū,,te2 hue3-siu7,,té huè-siū,,短命,240
1738,hoe5oe7,thong-ek8,hoe5ōe,thong-e̍k,hue5ue7,thong-ik8,huē5ue,thong-i̍k,通譯,240
1739,hoe5-siunn7,,hôe-siūⁿ,,hue5-siunn7,,huê-siūnn,,和尚,240
1740,hoe5-siunn7-si7,,hôe-siūⁿ-sī,,hue5-siunn7-si7,,huê-siūnn-sī,,和尚寺,241
1741,hoeh,huih,hoeh,huih,hueh,huih,hueh,huih,血,241
1742,lau5-hoeh,lau5-huih,lâu-hoeh,lâu-huih,lau5-hueh,lau5-huih,lâu-hueh,lâu-huih,血管,241
1743,hok-khi3,,hok-khì,,hok-khi3,,hok-khì,,福氣,241
1744,chin u7 hok-khi3,,chin ū hok-khì,,tsin u7 hok-khi3,,tsin ū hok-khì,,很福氣,241
1745,hok8-sai7,,ho̍k-sāi,,hok8-sai7,,ho̍k-sāi,,奉仕、祭祀,241
1746,hok8-sip8,un-sip8,ho̍k-si̍p,un-si̍p,hok8-sip8,un-sip8,ho̍k-si̍p,un-si̍p,溫習,241
1747,hok8-siu5,,ho̍k-siû,,hok8-siu5,,ho̍k-siû,,復讐,242
1748,hok8-chit,,ho̍k-chit,,hok8-tsit,,ho̍k-tsit,,復職,242
1749,hok8-ku7,,ho̍k-kū,,hok8-ku7,,ho̍k-kū,,復舊,242
1750,hok8-heng,,ho̍k-heng,,hok8-hing,,ho̍k-hing,,復興,242
1751,hok8-hoat8,hok8-oah8,ho̍k-hoa̍t,ho̍k-oa̍h,hok8-huat8,hok8-uah8,ho̍k-hua̍t,ho̍k-ua̍h,復活,242
1752,hok8-hoat8-chiat,hok8-oah8-chiat,ho̍k-hoa̍t-chiat,ho̍k-oa̍h-chiat,hok8-huat8-tsiat,hok8-uah8-tsiat,ho̍k-hua̍t-tsiat,ho̍k-ua̍h-tsiat,復活節,242
1753,hok8-chap8,,ho̍k-cha̍p,,hok8-tsap8,,ho̍k-tsa̍p,,複雜,243
1754,hok8-moh8-iam7,,ho̍k-mo̍h-iām,,hok8-moh8-iam7,,ho̍k-mo̍h-iām,,腹膜炎,243
1755,hok8-chiong5,,ho̍k-chiông,,hok8-tsiong5,,ho̍k-tsiông,,服從,243
1756,hok8-bu7,,ho̍k-bū,,hok8-bu7,,ho̍k-bū,,服務,243
1757,hok8-bu7 si5-kan,,ho̍k-bū sî-kan,,hok8-bu7 si5-kan,,ho̍k-bū sî-kan,,服務時間,243
1758,hok-im,,hok-im,,hok-im,,hok-im,,福音,244
1759,hong7-kau3,,hōng-kàu,,hong7-kau3,,hōng-kàu,,奉教,244
1760,hong7-kau3-lang5,,hōng-kàu-lâng,,hong7-kau3-lang5,,hōng-kàu-lâng,,奉教人,244
1761,hong2-bun7,,hóng-būn,,hong2-bun7,,hóng-būn,,訪問,244
1762,hong,,hong,,hong,,hong,,風,244
1763,hong chin thau3,,hong chin thàu,,hong tsin thau3,,hong tsin thàu,,風很大,244
1764,hong chin tiam7,,hong chin tiām,,hong tsin tiam7,,hong tsin tiām,,風很靜,244
1765,hong-koo2,,hong-kó͘,,hong-koo2,,hong-kóo,,簸箕,244
1766,hong3-ka2,,hòng-ká,,hong3-ka2,,hòng-ká,,放假,244
1767,hong-siok8,,hong-sio̍k,,hong-siok8,,hong-sio̍k,,風俗,245
1768,hong5-khong pian7,,hông-khong piān,,hong5-khong pian7,,hông-khong piān,,航空信,245
1769,hong-bin7,,hong-bīn,,hong-bin7,,hong-bīn,,方面,245
1770,hong-chhioh,,hong-chhioh,,hong-tshioh,,hong-tshioh,,方尺,245
1771,hong-chhoe,,hong-chhoe,,hong-tshue,,hong-tshue,,風箏,245
1772,pang3 hong-chhoe,,pàng hong-chhoe,,pang3 hong-tshue,,pàng hong-tshue,,放風箏,245
1773,hong5-te3,,hông-tè,,hong5-te3,,hông-tè,,皇帝,245
1774,hong-phoe,beng5-sin3-phian3,hong-phoe,bêng-sìn-phiàn,hong-phue,bing5-sin3-phian3,hong-phue,bîng-sìn-phiàn,封信,245
1775,hong-siann,,hong-siaⁿ,,hong-siann,,hong-siann,,風聞、謠言,246
1776,hong-thau5,,hong-thâu,,hong-thau5,,hong-thâu,,上風,246
1777,hong-boe2,,hong-bóe,,hong-bue2,,hong-bué,,下風,246
1778,hong3-toa7,,hòng-tōa,,hong3-tua7,,hòng-tuā,,放大,246
1779,hong5-hio7,hong5-hoo7/hong5-te3-niu5,hông-hiō,hông-hō͘/hông-tè-niû,hong5-hio7,hong5-hoo7/hong5-te3-niu5,hông-hiō,hông-hōo/hông-tè-niû,皇后,246
1780,hong-thai,,hong-thai,,hong-thai,,hong-thai,,颱風,246
1781,hong,,hong,,hong,,hong,,封,247
1782,hong5-khong-tong7,,hông-khong-tōng,,hong5-khong-tong7,,hông-khong-tōng,,防空洞,247
1783,hu-jin5,,hu-jîn,,hu-jin5,,hu-jîn,,夫人,247
1784,chiunn2 hu-jin5,,chiúⁿ hu-jîn,,tsiunn2 hu-jin5,,tsiúnn hu-jîn,,蔣夫人,247
1785,hu7-jin5-lang5,,hū-jîn-lâng,,hu7-jin5-lang5,,hū-jîn-lâng,,婦人,247
1786,hu7-bio2,,hū-bió,,hu7-bio2,,hū-bió,,父母,247
1787,hu-hu7,,hu-hū,,hu-hu7,,hu-hū,,夫婦,247
1788,hu3,,hù,,hu3,,hù,,赴、趕時,247
1789,hu3 si5-kan,,hù sî-kan,,hu3 si5-kan,,hù sî-kan,,及時、趕時,247
1790,hu3 hoe7,,hù hōe,,hu3 hue7,,hù huē,,赴會,247
1791,hu3,,hù,,hu3,,hù,,副,248
1792,hu3 chong2-thong2,,hù chóng-thóng,,hu3 tsong2-thong2,,hù tsóng-thóng,,副總統,248
1793,hu3 hoe7-tiunn2,,hù hōe-tiúⁿ,,hu3 hue7-tiunn2,,hù huē-tiúnn,,副會長,248
1794,hu3-su5,,hù-sû,,hu3-su5,,hù-sû,,副詞,248
1795,hu3-san2-but8,,hù-sán-bu̍t,,hu3-san2-but8,,hù-sán-bu̍t,,副產物,248
1796,hui-ki,,hui-ki,,hui-ki,,hui-ki,,飛機,248
1797,hui-siong5,,hui-siông,,hui-siong5,,hui-siông,,非常,248
1798,hui2-pong3,,húi-pòng,,hui2-pong3,,huí-pòng,,誹謗,248
1799,hui-khoai3 chhia,,hui-khoài chhia,,hui-khuai3 tshia,,hui-khuài tshia,,飛快車,248
1800,hui3-khi3,,hùi-khì,,hui3-khi3,,huì-khì,,麻煩,248
1801,hui5,,hûi,,hui5,,huî,,陶器,249
1802,hui3-sin5,,hùi-sîn,,hui3-sin5,,huì-sîn,,麻煩,249
1803,hui-hoat,,hui-hoat,,hui-huat,,hui-huat,,非法,249
1804,hui-le2,,hui-lé,,hui-le2,,hui-lé,,非禮,249
1805,hui-li2,,hui-lí,,hui-li2,,hui-lí,,非理,249
1806,hui3-pinn7,hi3-penn7,hùi-pīⁿ,hì-pēⁿ,hui3-pinn7,hi3-penn7,huì-pīnn,hì-pēnn,肺病,249
1807,hui3-iam7,hi3-iam7,hùi-iām,hì-iām,hui3-iam7,hi3-iam7,huì-iām,hì-iām,肺炎,250
1808,kip-seng3 e5 hui3-iam7,,kip-sèng ê hùi-iām,,kip-sing3 e5 hui3-iam7,,kip-sìng ê huì-iām,,急性肺炎,250
1809,hui-ki-tiunn5,,hui-ki-tiûⁿ,,hui-ki-tiunn5,,hui-ki-tiûnn,,飛機場,250
1810,hun,,hun,,hun,,hun,,煙、烟,250
1811,chiah8 hun,,chia̍h hun,,tsiah8 hun,,tsia̍h hun,,吸烟,250
1812,hun,,hun,,hun,,hun,,分,250
1813,hun7,,hūn,,hun7,,hūn,,,250
1814,hun7,,hūn,,hun7,,hūn,,股份,251
1815,hun5,,hûn,,hun5,,hûn,,雲,251
1816,hun5-hai2,,hûn-hái,,hun5-hai2,,hûn-hái,,雲海,251
1817,hun2,,hún,,hun2,,hún,,粉,251
1818,mi7-hun2,,mī-hún,,mi7-hun2,,mī-hún,,麵粉,251
1819,hoat-hun2,,hoat-hún,,huat-hun2,,huat-hún,,發粉、酵母,251
1820,thoo5-hun2,,thô͘-hún,,thoo5-hun2,,thôo-hún,,土粉、塵埃,251
1821,gu5-leng-hun2,,gû-leng-hún,,gu5-ling-hun2,,gû-ling-hún,,奶粉,251
1822,hun2-pit,,hún-pit,,hun2-pit,,hún-pit,,粉筆,251
1823,hun,,hun,,hun,,hun,,分,251
1824,hun-cho3,,hun-chò,,hun-tso3,,hun-tsò,,分做、分成、分為,252
1825,hun,,hun,,hun,,hun,,分,252
1826,hun,,hun,,hun,,hun,,分,252
1827,hun-piat8,,hun-pia̍t,,hun-piat8,,hun-pia̍t,,分別、區別,252
1828,hun,,hun,,hun,,hun,,煙,252
1829,e7 hun,,ē hun,,e7 hun,,ē hun,,燻,252
1830,chin hun,,chin hun,,tsin hun,,tsin hun,,多煙,252
1831,kui2 hun,,kúi hun,,kui2 hun,,kuí hun,,幾分（數）,253
1832,hun2-chiau2,,hún-chiáu,,hun2-tsiau2,,hún-tsiáu,,鴿、鳩,253
1833,hun-chiong,,hun-chiong,,hun-tsiong,,hun-tsiong,,勳章,253
1834,kat hun-chiong,,kat hun-chiong,,kat hun-tsiong,,kat hun-tsiong,,配戴勳章,253
1835,hun3-lian7,,hùn-liān,,hun3-lian7,,hùn-liān,,訓練,253
1836,khi3 hun3-lian7,,khì hùn-liān,,khi3 hun3-lian7,,khì hùn-liān,,入伍受訓,253
1837,hut-jian5,hut-jian5-kan,hut-jiân,hut-jiân-kan,hut-jian5,hut-jian5-kan,hut-jiân,hut-jiân-kan,忽然,253
1838,hut-jian5-kan tiam7--khi3,,hut-jiân-kan tiām--khì,,hut-jian5-kan tiam7--khi3,,hut-jiân-kan tiām--khì,,忽然間停了,253
1839,hut-jian5-kan si2--khi3,,hut-jiân-kan sí--khì,,hut-jian5-kan si2--khi3,,hut-jiân-kan sí--khì,,忽然間死了,253
1840,hut8-kau3,,hu̍t-kàu,,hut8-kau3,,hu̍t-kàu,,佛教,253
1841,i,,i,,i,,i,,他、她,254
1842,i2-a2,,í-á,,i2-a2,,í-á,,椅子,254
1843,i,,i,,i,,i,,醫、醫治,254
1844,i-seng,,i-seng,,i-sing,,i-sing,,醫生、醫師,254
1845,i3-su3,,ì-sù,,i3-su3,,ì-sù,,意思,254
1846,i2-au7,,í-aū,,i2-au7,,í-āu,,以後,254
1847,i2-cheng5,,í-chêng,,i2-tsing5,,í-tsîng,,以前,254
1848,i2-keng,,í-keng,,i2-king,,í-king,,已經,255
1849,i2-lai5,,í-lâi,,i2-lai5,,í-lâi,,以來,255
1850,i2-goa7,,í-gōa,,i2-gua7,,í-guā,,以外,255
1851,i2-lai7,,í-lāi,,i2-lai7,,í-lāi,,以內,255
1852,i2-siong7,,í-siōng,,i2-siong7,,í-siōng,,以上,255
1853,i2-ha7,,í-hā,,i2-ha7,,í-hā,,以下,256
1854,soo2-i2,,só͘-í,,soo2-i2,,sóo-í,,所以,256
1855,a-i5,,a-î,,a-i5,,a-î,,姨媽,256
1856,i5-tiunn7,,î-tiūⁿ,,i5-tiunn7,,î-tiūnn,,姨丈,256
1857,i3-kian3,,ì-kiàn,,i3-kian3,,ì-kiàn,,意見,256
1858,i2-toh,,í-toh,,i2-toh,,í-toh,,桌椅,256
1859,i-nai7,,i-nāi,,i-nai7,,i-nāi,,依賴、依靠,256
1860,i-hok8,,i-ho̍k,,i-hok8,,i-ho̍k,,衣服,257
1861,i7-soan3,,ī-soàn,,i7-suan3,,ī-suàn,,豫算,257
1862,me5-ni5 e5 i3-soan3,,mê-nî ê ì-soàn,,me5-ni5 e5 i3-suan3,,mê-nî ê ì-suàn,,明年的豫算,257
1863,i7-gian5,,ī-giân,,i7-gian5,,ī-giân,,豫言,257
1864,u7-gian5 chia2,sian-ti,ū-giân chiá,sian-ti,u7-gian5 tsia2,sian-ti,ū-giân tsiá,sian-ti,豫言者、先知,257
1865,i5-bin5,,î-bîn,,i5-bin5,,î-bîn,,移民,257
1866,i5-tong7,,î-tōng,,i5-tong7,,î-tōng,,移動,257
1867,i3-gi7,,ì-gī,,i3-gi7,,ì-gī,,異議,258
1868,i3-gi7,,ì-gī,,i3-gi7,,ì-gī,,意義,258
1869,i3-tiong,sim-lai7,ì-tiong,sim-lāi,i3-tiong,sim-lai7,ì-tiong,sim-lāi,意中,258
1870,i3-goa7,,ì-gōa,,i3-gua7,,ì-guā,,意外、意料之外,259
1871,inn3-a2,,ìⁿ-á,,inn3-a2,,ìnn-á,,燕子,259
1872,chit8 tui3 inn3-a2,,chi̍t tùi ìⁿ-á,,tsit8 tui3 inn3-a2,,tsi̍t tuì ìnn-á,,一對燕子,259
1873,inn5 soann-a2,,îⁿ soaⁿ-á,,inn5 suann-a2,,înn suann-á,,圓山,259
1874,inn5,,îⁿ,,inn5,,înn,,圓,259
1875,iann-a2,ang5-enn-a2,iaⁿ-á,âng-eⁿ-á,iann-a2,ang5-enn-a2,iann-á,âng-enn-á,嬰孩,260
1876,inn7-toan,,īⁿ-toan,,inn7-tuan,,īnn-tuan,,異端,260
1877,ia7,,iā,,ia7,,iā,,也,260
1878,ia5-soo,ia5-soo ki-li7-su-tok,iâ-so͘,iâ-so͘ ki-lī-su-tok,ia5-soo,ia5-soo ki-li7-su-tok,iâ-soo,iâ-soo ki-lī-su-tok,耶穌，基利斯督,260
1879,ia7,,iā,,ia7,,iā,,播、撒,260
1880,ia7 soa-a2,,iā soa-á,,ia7 sua-a2,,iā sua-á,,撒砂,260
1881,ia7-chi2,,iā-chí,,ia7-tsi2,,iā-tsí,,播種,260
1882,ia2-sim,,iá-sim,,ia2-sim,,iá-sim,,野心,260
1883,ia3,,ià,,ia3,,ià,,厭倦,260
1884,ia2-siu3,,iá-siù,,ia2-siu3,,iá-siù,,野獸,261
1885,ia2-seng,,iá-seng,,ia2-sing,,iá-sing,,野生,261
1886,ia2-ban5,,iá-bân,,ia2-ban5,,iá-bân,,野蠻,261
1887,ia7-heng5-chhia,ia7-khoai3-chhia,iā-hêng-chhia,iā-khoài-chhia,ia7-hing5-tshia,ia7-khuai3-tshia,iā-hîng-tshia,iā-khuài-tshia,夜快車,261
1888,ia7-hak8,ia7-kan-poo7,iā-ha̍k,iā-kan-pō͘,ia7-hak8,ia7-kan-poo7,iā-ha̍k,iā-kan-pōo,夜間部,261
1889,ia7-keng2,,iā-kéng,,ia7-king2,,iā-kíng,,夜景,261
1890,iann2,,iáⁿ,,iann2,,iánn,,影,261
1891,tian7-iann2,,tiān-iáⁿ,,tian7-iann2,,tiān-iánn,,電影,261
1892,chit8 chhut tian7-iann2,,chi̍t chhut tiān-iáⁿ,,tsit8 tshut tian7-iann2,,tsi̍t tshut tiān-iánn,,一部電影,261
1893,u7 iann2,,ū iáⁿ,,u7 iann2,,ū iánn,,真的,262
1894,bo5-iann2,,bô-iáⁿ,,bo5-iann2,,bô-iánn,,假的、沒有這回事,262
1895,iann5,,iâⁿ,,iann5,,iânn,,贏,262
1896,iah,ah,iah,ah,iah,ah,iah,ah,而,262
1897,iah-sih,,iah-sih,,iah-sih,,iah-sih,,椰子,262
1898,iah8,,ia̍h,,iah8,,ia̍h,,頁,262
1899,iam5,,iâm,,iam5,,iâm,,鹽,262
1900,iam5 chui2,,iâm chúi,,iam5 tsui2,,iâm tsuí,,鹽水,263
1901,iam,,iam,,iam,,iam,,閹、去⋯⋯的勢,263
1902,iam-ke,,iam-ke,,iam-ke,,iam-ke,,閹雞,263
1903,iam3-se3,,iàm-sè,,iam3-se3,,iàm-sè,,厭世,263
1904,iam7,,iām,,iam7,,iām,,炎、然熾,263
1905,iam7-jit8,,iām-ji̍t,,iam7-jit8,,iām-ji̍t,,炎日,263
1906,iam7-hoe2,hoe2 chin iam7,iām-hóe,hóe chin iām,iam7-hue2,hue2 tsin iam7,iām-hué,hué tsin iām,炎火、燃熾,263
1907,hoat-iam7,,hoat-iām,,huat-iam7,,huat-iām,,發炎,263
1908,nau2-moh8-iam7,,náu-mo̍h-iām,,nau2-moh8-iam7,,náu-mo̍h-iām,,腦膜炎,263
1909,iam7-hok,,iām-hok,,iam7-hok,,iām-hok,,艷福,263
1910,iam5-sng,,iâm-sng,,iam5-sng,,iâm-sng,,鹽酸,263
1911,ian3-hoe7,,iàn-hōe,,ian3-hue7,,iàn-huē,,宴會,263
1912,ian2-kang2,ian2-soat,ián-káng,ián-soat,ian2-kang2,ian2-suat,ián-káng,ián-suat,演講、演說,264
1913,ian2-chau3,,ián-chàu,,ian2-tsau3,,ián-tsàu,,演奏,264
1914,ian2-chau3-hoe7,,ián-chàu-hōe,,ian2-tsau3-hue7,,ián-tsàu-huē,,演奏會,264
1915,ian,,ian,,ian,,ian,,煙,264
1916,ian-tang5,,ian-tâng,,ian-tang5,,ian-tâng,,煙囪,264
1917,ian-hoe2,,ian-hóe,,ian-hue2,,ian-hué,,煙火,264
1918,pang3 ian-hoe2,,pàng ian-hóe,,pang3 ian-hue2,,pàng ian-hué,,放烟火,264
1919,ian-chhiang5,,ian-chhiâng,,ian-tshiang5,,ian-tshiâng,,香腸、臘腸,264
1920,ian-bah,,ian-bah,,ian-bah,,ian-bah,,煙肉,264
1921,ian5-pit,,iân-pit,,ian5-pit,,iân-pit,,鉛筆,264
1922,ian5-soann3,,iân-sòaⁿ,,ian5-suann3,,iân-suànn,,鉛線,264
1923,ian5-thang2,,iân-tháng,,ian5-thang2,,iân-tháng,,鉛桶,264
1924,ian5-phiann2,,iân-phiáⁿ,,ian5-phiann2,,iân-phiánn,,鉛板,265
1925,ian5-kong2,ian5-kng2,iân-kóng,iân-kńg,ian5-kong2,ian5-kng2,iân-kóng,iân-kńg,鉛管,265
1926,ian5-tok8,,iân-to̍k,,ian5-tok8,,iân-to̍k,,鉛毒,265
1927,ian5-ki5,,iân-kî,,ian5-ki5,,iân-kî,,延期,265
1928,ian5-loo7,,iân-lō͘,,ian5-loo7,,iân-lōo,,沿路,265
1929,ian5-hai2,,iân-hái,,ian5-hai2,,iân-hái,,沿海,265
1930,ian5-koo3,,iân-kò͘,,ian5-koo3,,iân-kòo,,緣故、親戚關係,266
1931,iang7,ainn7,iāng,aīⁿ,iang7,ainn7,iāng,āinn,背,266
1932,iau2,,iáu,,iau2,,iáu,,還、仍,266
1933,iau3-kin2,,iàu-kín,,iau3-kin2,,iàu-kín,,要緊、重要,266
1934,bo5 iau3-kin2,,bô iàu-kín,,bo5 iau3-kin2,,bô iàu-kín,,不要緊,266
1935,iau,,iau,,iau,,iau,,餓、飢,266
1936,iau-kui2,,iau-kúi,,iau-kui2,,iau-kuí,,大食、食饕,267
1937,iau-si2,,iau-sí,,iau-si2,,iau-sí,,餓死,267
1938,iau2-ku2,,iáu-kú,,iau2-ku2,,iáu-kú,,仍舊,267
1939,iau2-boe7,,iáu-bōe,,iau2-bue7,,iáu-buē,,還沒,267
1940,iau-koai3,,iau-koài,,iau-kuai3,,iau-kuài,,妖怪、魔鬼,267
1941,iau3-kiu5,,iàu-kiû,,iau3-kiu5,,iàu-kiû,,要求,267
1942,si5-tai7 e5 iau3-kiu5,,sî-tāi ê iàu-kiû,,si5-tai7 e5 iau3-kiu5,,sî-tāi ê iàu-kiû,,時代的要求,268
1943,iau3-tiam2,,iàu-tiám,,iau3-tiam2,,iàu-tiám,,要點,268
1944,iau3-soo3,,iàu-sò͘,,iau3-soo3,,iàu-sòo,,要素,268
1945,isu3-sai3,,isù-sài,,isu3-sai3,,ìsu-sài,,要塞,268
1946,iau3-sai3-te7,iau3-sai3-tai3,iàu-sài-tē,iàu-sài-tài,iau3-sai3-te7,iau3-sai3-tai3,iàu-sài-tē,iàu-sài-tài,要塞地（帶）,268
1947,iau3-leng2,,iàu-léng,,iau3-ling2,,iàu-líng,,要領,268
1948,"(kong2-oe7, cho3-tai7-chi3) put tek iau3-leng2",,"(kóng-oē, chò-tāi-chì) put tek iàu-léng",,"(kong2-ue7, tso3-tai7-tsi3) put tik iau3-ling2",,"(kóng-uē, tsò-tāi-tsì) put tik iàu-líng",,（講話、做事）不得要領,268
1949,iau-sut8,,iau-su̍t,,iau-sut8,,iau-su̍t,,妖術,269
1950,im-gak8,,im-ga̍k,,im-gak8,,im-ga̍k,,音樂,269
1951,im-gak8-hoe7,,im-ga̍k-hōe,,im-gak8-hue7,,im-ga̍k-huē,,音樂會,269
1952,im-chui2,,im-chúi,,im-tsui2,,im-tsuí,,灌水、浸水,269
1953,im-lek8,long5-lek8/ku7-lek8,im-le̍k,lông-le̍k/kū-le̍k,im-lik8,long5-lik8/ku7-lik8,im-li̍k,lông-li̍k/kū-li̍k,陰曆、農曆,269
1954,im-tek,,im-tek,,im-tik,,im-tik,,陰德,269
1955,im-thinn,oo-im-thinn,im-thiⁿ,o͘-im-thiⁿ,im-thinn,oo-im-thinn,im-thinn,oo-im-thinn,陰天,270
1956,im-boo5,im-bio5,im-bô͘,im-biô,im-boo5,im-bio5,im-bôo,im-biô,陰謀,270
1957,in3,,ìn,,in3,,ìn,,應答、回答,270
1958,in-ui7,,in-uī,,in-ui7,,in-uī,,因為,270
1959,in-ian5,,in-iân,,in-ian5,,in-iân,,關係、交誼,270
1960,in3-chih,,ìn-chih,,in3-tsih,,ìn-tsih,,英寸（吋）,270
1961,in3-too7,,ìn-tō͘,,in3-too7,,ìn-tōo,,印度,271
1962,in3-a2,,ìn-á,,in3-a2,,ìn-á,,印章,271
1963,tng3 in3-a2,,tǹg ìn-á,,tng3 in3-a2,,tǹg ìn-á,,蓋印,271
1964,in3-hoe,,ìn-hoe,,in3-hue,,ìn-hue,,印花,271
1965,in3,in3-soat,ìn,ìn-soat,in3,in3-suat,ìn,ìn-suat,印刷、印,271
1966,in3-soat-ki,,ìn-soat-ki,,in3-suat-ki,,ìn-suat-ki,,印刷機,271
1967,in3-sek,,ìn-sek,,in3-sik,,ìn-sik,,印色,271
1968,in3-siong7,,ìn-siōng,,in3-siong7,,ìn-siōng,,印象,271
1969,in2-chhoa7,,ín-chhōa,,in2-tshua7,,ín-tshuā,,引導,271
1970,in2-hoe2,,ín-hóe,,in2-hue2,,ín-hué,,引火,272
1971,in2-lek8,,ín-le̍k,,in2-lik8,,ín-li̍k,,引力,272
1972,in2-the3,,ín-thè,,in2-the3,,ín-thè,,引退、退休,272
1973,in2-iong7,,ín-iōng,,in2-iong7,,ín-iōng,,引用,272
1974,io5,,iô,,io5,,iô,,搖,272
1975,io5-cheng,,iô-cheng,,io5-tsing,,iô-tsing,,搖鐘,273
